t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,roll_unwrapped,pitch_unwrapped,yaw_unwrapped,x_dot_world,y_dot_world,vx_odom_raw,vy_odom_raw,vz_odom_raw,wx_odom_raw,wy_odom_raw,wz_odom_raw,u_left,u_right
0.0,0.0010726918472605893,-4.136307046511937e-18,-0.0494609630141474,-1.9521969706038125e-15,-0.0008258494906651172,-8.47315674740437e-18,-5.273375446986084e-06,-2.072784501491438e-18,-7.294415943071009e-05,-1.4581976407866114e-15,0.0018039835766116182,-6.261003253158435e-19,-1.9521969706038125e-15,-0.0008258494906651172,-8.47315674740437e-18,-5.273375446986084e-06,-2.072739819354688e-18,2.974214238891027e-05,-8.652012138174734e-19,-0.00011051982641633448,-7.033561759481191e-16,-0.001492657203761661,-6.380653236136862e-18,0.0,0.0
0.03200000000000003,0.001072579348584387,-4.180525495991504e-18,-0.04946251915621526,-1.983305186940594e-15,-0.0007873645076974027,-8.486513554344442e-18,-1.757791815659715e-06,-6.909281906423068e-19,-2.4314719810236696e-05,-4.860658802622059e-16,0.0006013278588705394,-2.0870010843863916e-19,-1.983305186940594e-15,-0.0007873645076974027,-8.486513554344442e-18,-1.757791815659715e-06,-6.909132731182375e-19,-2.8444166214725083e-06,-1.0289894896374322e-18,-3.890137424428251e-05,-7.777615264786959e-16,0.000962176763371932,1.5658343740302817e-18,0.0,0.0
0.06400000000000006,0.001072579348584387,-4.180525495991504e-18,-0.04946251915621526,-1.983305186940594e-15,-0.0007873645076974027,-8.486513554344442e-18,-1.4125913964204914e-05,-7.066187120170995e-19,2.2614224024830598e-05,-3.777838243187189e-16,0.0014057471153281313,6.400895033761104e-19,-1.983305186940594e-15,-0.0007873645076974027,-8.486513554344442e-18,-1.4125913964204914e-05,-7.064988322567748e-19,-2.8444166214725083e-06,-1.0289894896374322e-18,-3.890137424428251e-05,-7.777615264786959e-16,0.000962176763371932,1.5658343740302817e-18,0.0,0.0
0.10000000000000053,0.0010714987161661253,-4.234572656659148e-18,-0.049460789168077356,-2.012205649500976e-15,-0.0006798248533747984,-8.437546707336168e-18,-3.4290652139924716e-05,-1.6366284975233656e-18,7.820113898693304e-05,-8.612789215554435e-16,0.0033792008010815316,1.4912549146005773e-18,-2.012205649500976e-15,-0.0006798248533747984,-8.437546707336168e-18,-3.4290652139924716e-05,-1.6363391685443099e-18,-2.8855306995162287e-05,-1.5688451175934481e-18,4.384993532332673e-05,-8.014037638685598e-16,0.002902134432108396,7.101315074824469e-18,0.0,0.0
0.13200000000000056,0.0010702798697697262,-4.290776339208084e-18,-0.0494574292478841,-2.0414302420450632e-15,-0.0005605405417025936,-8.38609848692438e-18,-2.7440143322919608e-05,-1.6835945263968914e-18,0.00010200856654662971,-9.142897850907215e-16,0.002961557017491202,6.778335954331223e-19,-2.0414302420450632e-15,-0.0005605405417025936,-8.38609848692438e-18,-2.7440143322919608e-05,-1.6833644106524901e-18,-3.3992369103741335e-05,-1.7494716825259162e-18,9.164295221153086e-05,-8.114535394380074e-16,0.0033251039824271486,8.182837025391044e-18,0.0,0.0
0.1640000000000006,0.0010697425469934584,-4.342307978940907e-18,-0.04945426061981837,-2.0707201957467825e-15,-0.0004902852042553612,-8.394165357228448e-18,-1.095474444268163e-06,-1.417056262101628e-18,7.355702551492538e-05,-8.665424825478894e-16,0.000988109931014401,-1.4838845699559949e-18,-2.0707201957467825e-15,-0.0004902852042553612,-8.394165357228448e-18,-1.095474444268163e-06,-1.4170470665079982e-18,-1.625888097230763e-05,-1.624767351484423e-18,8.913422646448818e-05,-8.139078005844771e-16,0.002051798552732911,4.108686080377978e-18,0.0,0.0
0.20000000000000018,0.0010703387923371858,-4.385492347991914e-18,-0.049452643802262164,-2.099940598007957e-15,-0.0005036117059894122,-8.497472894101493e-18,3.4136287211307403e-05,-1.203783230874487e-18,1.6187624259478284e-05,-8.676439448389975e-16,-0.0016348218423647472,-4.491805645186453e-18,-2.099940598007957e-15,-0.0005036117059894122,-8.497472894101493e-18,3.4136287211307403e-05,-1.2040733030497703e-18,1.4748533714199861e-05,-1.3166830557979537e-18,4.771762098191272e-05,-8.120115901334641e-16,-0.00023405378490923157,-3.220880463939561e-18,0.0,0.0
0.2320000000000002,0.0010719310338209885,-4.424150906911262e-18,-0.049452942835783435,-2.1292971289859393e-15,-0.000591898022399765,-8.687351882730604e-18,5.522832074331477e-05,-1.1986633436914854e-18,-2.9211323306022052e-05,-9.21738411756003e-16,-0.0032021841486850108,-6.394706433399666e-18,-2.1292971289859393e-15,-0.000591898022399765,-8.687351882730604e-18,5.522832074331477e-05,-1.199143131547675e-18,4.2885162238030925e-05,-1.0729151027028211e-18,-5.438277490495062e-06,-8.157963378535679e-16,-0.0023504938142260554,-1.0134506671592257e-17,0.0,0.0
0.26400000000000023,0.001073873404864758,-4.462237508410965e-18,-0.049454513326953754,-2.158931856360341e-15,-0.000708551491505253,-8.906734105839071e-18,5.1499723920324716e-05,-1.0548072261726818e-18,-4.7984958770008745e-05,-8.758920499897177e-16,-0.0030435982472426498,-5.686786034171883e-18,-2.158931856360341e-15,-0.000708551491505253,-8.906734105839071e-18,5.1499723920324716e-05,-1.0552659205201643e-18,5.375580680646682e-05,-9.69320936889744e-19,-4.21689236385568e-05,-8.228764857925067e-16,-0.0032235159243098528,-1.2992251874294594e-17,0.0,0.0
0.3000000000000007,0.001075354820392392,-4.494761996307696e-18,-0.04945619652341222,-2.188431146351327e-15,-0.0007937472105826833,-9.064117611331569e-18,2.692873082363323e-05,-9.54881897639927e-19,-3.596562508434431e-05,-8.747859552116176e-16,-0.0012997109852466732,-2.8648473351556327e-18,-2.188431146351327e-15,-0.0007937472105826833,-9.064117611331569e-18,2.692873082363323e-05,-9.551259828232364e-19,4.2179330442090713e-05,-8.115049824407818e-19,-4.7162296264216664e-05,-8.197851559145211e-16,-0.002441314744772562,-9.807253625423718e-18,0.0,0.0
0.33200000000000074,0.001075812011408984,-4.526795694906608e-18,-0.049457040512635324,-2.2179990164413644e-15,-0.0008049923829630819,-9.11292931752172e-18,-2.306255724587869e-06,-1.0290441408502882e-18,-9.398791677273088e-06,-9.268588883916117e-16,0.0008687147666794105,1.0610325514420367e-19,-2.2179990164413644e-15,-0.0008049923829630819,-9.11292931752172e-18,-2.306255724587869e-06,-1.0290231241048818e-18,1.4419072536465206e-05,-8.298119834993028e-19,-2.505848035449337e-05,-8.209361645506503e-16,-0.00043872755174847533,-2.4868419843665426e-18,0.0,0.0
0.36400000000000077,0.0010752072200260184,-4.560619476250409e-18,-0.04945679804607956,-2.2477501152083905e-15,-0.0007381494655152009,-9.05732700300234e-18,-2.520727090472505e-05,-1.1312881494655809e-18,1.526777353988429e-05,-8.90192469701017e-16,0.002532532162939855,2.0563020181809938e-18,-2.2477501152083905e-15,-0.0007381494655152009,-9.05732700300234e-18,-2.520727090472505e-05,-1.1310598389701435e-18,-1.233205343926315e-05,-1.2963519720647692e-18,-2.2443279844484986e-06,-1.1551828927970306e-15,0.001774373825060118,5.0166315612632815e-18,0.0,0.0
0.40000000000000036,0.0010740443028958728,-4.604337330668376e-18,-0.04945593693313839,-2.2781961047635004e-15,-0.0006290088224452777,-8.970391577925085e-18,-3.0966489836775635e-05,-1.351673291610541e-18,2.2053066653371367e-05,-9.095420705982798e-16,0.003000122273155865,1.9703247443565593e-18,-2.2781961047635004e-15,-0.0006290088224452777,-8.970391577925085e-18,-3.0966489836775635e-05,-1.3513955100709113e-18,-3.1746350252353505e-05,-1.2687197749243633e-18,2.333253401686941e-05,-8.458867236752746e-16,0.0029896731869889508,9.141998018235617e-18,0.0,0.0
