t,cmd_left,cmd_right,Tu,Tr,u,v,r
285.96666666666664,0.1,0.7,46.623973020707595,11.860046223950441,0.9508084201619516,-0.8264752287901965,1.691508472385432
286.0,0.1,0.7,46.623973020707595,11.860046223950441,0.9464422291746566,-0.8235441517396697,1.6880768501383598
286.0333333333333,0.1333,0.6667,43.97964606914165,10.648413038970563,0.9425389147060079,-0.8204125388242689,1.6847004085176407
286.06666666666666,0.1667,0.6333,41.5160191425547,9.399056098310568,0.9355633038645285,-0.8161434017837237,1.6474356455514902
286.1,0.2,0.6,39.288003112390996,8.121984309686718,0.9265664808985001,-0.8094698750934144,1.588848312444925
286.1333333333333,0.2333,0.5667,37.32638210209518,6.8165641127440555,0.9164467087109146,-0.7997826093153159,1.515884902443933
286.1666666666667,0.2667,0.5333,35.66217886167396,5.482378821787641,0.905984405038487,-0.7868492654978266,1.4321587613428124
286.2,0.3,0.5,34.33668095595582,4.131581031890573,0.8958843790933935,-0.770646941694139,1.3394901472964629
286.23333333333335,0.3333,0.4667,33.37017879472675,2.764858358596738,0.8868106380832944,-0.7512727832291203,1.2390717868859427
286.26666666666665,0.3667,0.4333,32.78069466642583,1.3831190182842192,0.8793667424476593,-0.7288855006840521,1.1314212272678457
286.3,0.4,0.4,32.583645022070634,-0.0,0.8741045032878985,-0.7036579012625958,1.016634582821661
286.3333333333333,0.4333,0.3667,32.78069466642583,-1.3831190182842192,0.8715253945809488,-0.675750617964132,0.8948722734740068
286.3666666666667,0.4667,0.3333,33.37017879472675,-2.7648583585967375,0.8720655131689019,-0.6452870282370168,0.765914769183043
286.4,0.5,0.3,34.33668095595582,-4.131581031890573,0.8760987906098041,-0.6123231577476169,0.6292007146558313
286.43333333333334,0.5333,0.2667,35.66217886167396,-5.48237882178764,0.8839193254195398,-0.5768290444230518,0.48418196055584717
286.46666666666664,0.5667,0.2333,37.32638210209518,-6.8165641127440555,0.8957404888219865,-0.5386659463165043,0.32977049730435903
286.5,0.6,0.2,39.288003112390996,-8.121984309686718,0.9116946836688495,-0.4975528507737704,0.16425793331330615
286.5333333333333,0.6333,0.1667,41.5160191425547,-9.399056098310568,0.931798431744341,-0.45303723613223734,-0.01447916356512266
286.56666666666666,0.6667,0.1333,43.97964606914165,-10.648413038970565,0.9559518440635202,-0.404494008051554,-0.2065501360610784
286.6,0.7,0.1,46.623973020707595,-11.860046223950441,0.9838653139345422,-0.35140252410098566,-0.40401974368953697
286.6333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.015006329380894,-0.29356181371163587,-0.5989397994544562
286.6666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,1.0444856056828158,-0.23206094140946243,-0.750405278527053
286.7,0.7,0.1,46.623973020707595,-11.860046223950441,1.0716388127729735,-0.16873866427678158,-0.8691967077212659
286.73333333333335,0.7,0.1,46.623973020707595,-11.860046223950441,1.0960675483784041,-0.10494611794145209,-0.964619143561308
286.76666666666665,0.7,0.1,46.623973020707595,-11.860046223950441,1.1175706097069893,-0.04162491638343438,-1.0438211987029216
286.8,0.7,0.1,46.623973020707595,-11.860046223950441,1.1360811595730782,0.020593571517361256,-1.1118871971802995
286.8333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.1516194530821067,0.08128525378271967,-1.1722298475727098
286.8666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,1.164261314091478,0.14015462643365817,-1.2270256768955146
286.9,0.7,0.1,46.623973020707595,-11.860046223950441,1.1741182492810596,0.19699829745644443,-1.2775943817286717
286.93333333333334,0.7,0.1,46.623973020707595,-11.860046223950441,1.1813253548757605,0.25166915476511065,-1.3246916916981457
286.96666666666664,0.7,0.1,46.623973020707595,-11.860046223950441,1.1860341814749034,0.30405289727257445,-1.3687186293851692
287.0,0.7,0.1,46.623973020707595,-11.860046223950441,1.1884084216626347,0.3540546147688514,-1.4098644269367282
287.0333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.1886210605907779,0.4015922019668137,-1.448200881632035
287.06666666666666,0.7,0.1,46.623973020707595,-11.860046223950441,1.1868521867217572,0.4465941250648022,-1.483742853964149
287.1,0.7,0.1,46.623973020707595,-11.860046223950441,1.1832870262031558,0.4889997327394324,-1.5164859035399227
287.1333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.1781139924160366,0.5287608503739851,-1.5464288181524573
287.1666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,1.171522678154896,0.5658438119373188,-1.5735863017282454
287.2,0.7,0.1,46.623973020707595,-11.860046223950441,1.1637017950812996,0.600231387829388,-1.5979953068213901
287.23333333333335,0.7,0.1,46.623973020707595,-11.860046223950441,1.1548371056287277,0.6319242843275209,-1.61971728484975
287.26666666666665,0.7,0.1,46.623973020707595,-11.860046223950441,1.1451094102811092,0.6609420437244925,-1.6388378304985887
287.3,0.7,0.1,46.623973020707595,-11.860046223950441,1.1346926566287763,0.6873232816269348,-1.6554646869493483
287.3333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.1237522311470745,0.7111252720078581,-1.6697247578734364
287.3666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,1.1124434837415536,0.7324229403183131,-1.6817605708696037
287.4,0.7,0.1,46.623973020707595,-11.860046223950441,1.1009105212288064,0.751307356277176,-1.6917265083820936
287.43333333333334,0.7,0.1,46.623973020707595,-11.860046223950441,1.0892852909293809,0.7678838350851175,-1.699785036142884
287.46666666666664,0.7,0.1,46.623973020707595,-11.860046223950441,1.0776869608666297,0.7822697618965706,-1.7061030976510605
287.5,0.7,0.1,46.623973020707595,-11.860046223950441,1.0662215897622138,0.7945922519876177,-1.7108487957753136
287.5333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.0549820688306668,0.8049857503935737,-1.7141884437985522
287.56666666666666,0.7,0.1,46.623973020707595,-11.860046223950441,1.044048308723266,0.8135896618335264,-1.7162840355648816
287.6,0.7,0.1,46.623973020707595,-11.860046223950441,1.0334876389949335,0.8205460862398758,-1.7172911568332065
287.6333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.023355384072512,0.825997718668016,-1.7173573371847013
287.6666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,1.0136955786188135,0.8300859559941098,-1.7166208237792606
287.7,0.7,0.1,46.623973020707595,-11.860046223950441,1.0045417860316537,0.8329492375418166,-1.7152097447706878
287.73333333333335,0.7,0.1,46.623973020707595,-11.860046223950441,0.9959179861534382,0.8347216332466593,-1.713241620988086
