t,cmd_left,cmd_right
7.0667,0.4500,0.4500
7.1000,0.4500,0.4500
7.1333,0.4500,0.4500
7.1667,0.4500,0.4500
7.2000,0.4500,0.4500
7.2333,0.4500,0.4500
7.2667,0.4500,0.4500
7.3000,0.4500,0.4500
7.3333,0.4500,0.4500
7.3667,0.4500,0.4500
7.4000,0.4500,0.4500
7.4333,0.4500,0.4500
7.4667,0.4500,0.4500
7.5000,0.4500,0.4500
7.5333,0.4500,0.4500
7.5667,0.4500,0.4500
7.6000,0.4500,0.4500
7.6333,0.4500,0.4500
7.6667,0.4500,0.4500
7.7000,0.4500,0.4500
7.7333,0.4500,0.4500
7.7667,0.4500,0.4500
7.8000,0.4500,0.4500
7.8333,0.4500,0.4500
7.8667,0.4500,0.4500
7.9000,0.4500,0.4500
7.9333,0.4500,0.4500
7.9667,0.4500,0.4500
8.0000,0.4500,0.4500
8.0333,0.4500,0.4500
8.0667,0.4500,0.4500
8.1000,0.4500,0.4500
8.1333,0.4500,0.4500
8.1667,0.4500,0.4500
8.2000,0.4500,0.4500
8.2333,0.4500,0.4500
8.2667,0.4500,0.4500
8.3000,0.4500,0.4500
8.3333,0.4500,0.4500
8.3667,0.4500,0.4500
8.4000,0.4500,0.4500
8.4333,0.4500,0.4500
8.4667,0.4500,0.4500
8.5000,0.4500,0.4500
8.5333,0.4500,0.4500
8.5667,0.4500,0.4500
8.6000,0.4500,0.4500
8.6333,0.4500,0.4500
8.6667,0.4500,0.4500
8.7000,0.4500,0.4500
8.7333,0.4500,0.4500
8.7667,0.4500,0.4500
8.8000,0.4500,0.4500
8.8333,0.4500,0.4500
8.8667,0.4500,0.4500
8.9000,0.4500,0.4500
8.9333,0.4500,0.4500
8.9667,0.4500,0.4500
9.0000,0.4500,0.4500
9.0333,0.4500,0.4500
9.0667,0.4500,0.4500
9.1000,0.4500,0.4500
9.1333,0.4500,0.4500
9.1667,0.4500,0.4500
9.2000,0.4500,0.4500
9.2333,0.4500,0.4500
9.2667,0.4500,0.4500
9.3000,0.4500,0.4500
9.3333,0.4500,0.4500
9.3667,0.4500,0.4500
9.4000,0.4500,0.4500
9.4333,0.4500,0.4500
9.4667,0.4500,0.4500
9.5000,0.4500,0.4500
9.5333,0.4500,0.4500
9.5667,0.4500,0.4500
9.6000,0.4500,0.4500
9.6333,0.4500,0.4500
9.6667,0.4500,0.4500
9.7000,0.4500,0.4500
9.7333,0.4500,0.4500
9.7667,0.4500,0.4500
9.8000,0.4500,0.4500
9.8333,0.4500,0.4500
9.8667,0.4500,0.4500
9.9000,0.4500,0.4500
9.9333,0.4500,0.4500
9.9667,0.4500,0.4500
10.0000,0.4500,0.4500
10.0333,0.4500,0.4500
10.0667,0.4500,0.4500
10.1000,0.4500,0.4500
10.1333,0.4500,0.4500
10.1667,0.4500,0.4500
10.2000,0.4500,0.4500
10.2333,0.4500,0.4500
10.2667,0.4500,0.4500
10.3000,0.4500,0.4500
10.3333,0.4500,0.4500
10.3667,0.4500,0.4500
10.4000,0.4500,0.4500
10.4333,0.4500,0.4500
10.4667,0.4500,0.4500
10.5000,0.4500,0.4500
10.5333,0.4500,0.4500
10.5667,0.4500,0.4500
10.6000,0.4500,0.4500
10.6333,0.4500,0.4500
10.6667,0.4500,0.4500
10.7000,0.4500,0.4500
10.7333,0.4500,0.4500
10.7667,0.4500,0.4500
10.8000,0.4500,0.4500
10.8333,0.4500,0.4500
10.8667,0.4500,0.4500
10.9000,0.4500,0.4500
10.9333,0.4500,0.4500
10.9667,0.4500,0.4500
11.0000,0.4500,0.4500
11.0333,0.4500,0.4500
11.0667,0.4500,0.4500
11.1000,0.4500,0.4500
11.1333,0.4500,0.4500
11.1667,0.4500,0.4500
11.2000,0.4500,0.4500
11.2333,0.4500,0.4500
11.2667,0.4500,0.4500
11.3000,0.4500,0.4500
11.3333,0.4500,0.4500
11.3667,0.4500,0.4500
11.4000,0.4500,0.4500
11.4333,0.4500,0.4500
11.4667,0.4500,0.4500
11.5000,0.4500,0.4500
11.5333,0.4500,0.4500
11.5667,0.4500,0.4500
11.6000,0.4500,0.4500
11.6333,0.4500,0.4500
11.6667,0.4500,0.4500
11.7000,0.4500,0.4500
11.7333,0.4500,0.4500
11.7667,0.4500,0.4500
11.8000,0.4500,0.4500
11.8333,0.4500,0.4500
11.8667,0.4500,0.4500
11.9000,0.4500,0.4500
11.9333,0.4500,0.4500
11.9667,0.4500,0.4500
12.0000,0.4500,0.4500
12.0333,0.4500,0.4500
12.0667,0.4500,0.4500
12.1000,0.4500,0.4500
12.1333,0.4500,0.4500
12.1667,0.4500,0.4500
12.2000,0.4500,0.4500
12.2333,0.4500,0.4500
12.2667,0.4500,0.4500
12.3000,0.4500,0.4500
12.3333,0.4500,0.4500
12.3667,0.4500,0.4500
12.4000,0.4500,0.4500
12.4333,0.4500,0.4500
12.4667,0.4500,0.4500
12.5000,0.4500,0.4500
12.5333,0.4500,0.4500
12.5667,0.4500,0.4500
12.6000,0.4500,0.4500
12.6333,0.4500,0.4500
12.6667,0.4500,0.4500
12.7000,0.4500,0.4500
12.7333,0.4500,0.4500
12.7667,0.4500,0.4500
12.8000,0.4500,0.4500
12.8333,0.4500,0.4500
12.8667,0.4500,0.4500
12.9000,0.4500,0.4500
12.9333,0.4500,0.4500
12.9667,0.4500,0.4500
13.0000,0.4500,0.4500
13.0333,0.4500,0.4500
13.0667,0.4500,0.4500
13.1000,0.4500,0.4500
13.1333,0.4500,0.4500
13.1667,0.4500,0.4500
13.2000,0.4500,0.4500
13.2333,0.4500,0.4500
13.2667,0.4500,0.4500
13.3000,0.4500,0.4500
13.3333,0.4500,0.4500
13.3667,0.4850,0.4850
13.4000,0.5200,0.5200
13.4333,0.5550,0.5550
13.4667,0.5900,0.5900
13.5000,0.6250,0.6250
13.5333,0.6600,0.6600
13.5667,0.6950,0.6950
